year,win_or_loss,team,Player,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
2021,win,Milwaukee Bucks,Team Totals,6,1441,251,537,66,187,102,140,79,199,278,138,48,21,65,105,670,0.467,0.353,0.729,240.2,111.7,46.3,23,8,3.5
2021,loss,Phoenix Suns,Team Totals,6,1439,250,510,66,172,90,105,42,192,234,120,42,24,74,122,656,0.49,0.384,0.857,239.8,109.3,39,20,7,4
2020,win,Los Angeles Lakers,Team Totals,6,1440,237,510,84,239,102,129,70,200,270,150,41,26,82,124,660,0.465,0.351,0.791,240,110,45,25,6.8,4.3
2020,loss,Miami Heat,Team Totals,6,1440,220,477,69,189,118,141,39,186,225,146,33,19,66,119,627,0.461,0.365,0.837,240,104.5,37.5,24.3,5.5,3.2
2019,win,Toronto Raptors,Team Totals,6,1441,230,506,72,206,137,159,58,188,246,138,49,29,73,133,669,0.455,0.35,0.862,240.2,111.5,41,23,8.2,4.8
2019,loss,Golden State Warriors,Team Totals,6,1441,220,491,76,201,119,149,53,189,242,169,41,29,93,142,635,0.448,0.378,0.799,240.2,105.8,40.3,28.2,6.8,4.8
2018,win,Golden State Warriors,Team Totals,4,985,174,339,51,136,65,76,27,133,160,111,26,32,37,87,464,0.513,0.375,0.855,246.3,116,40,27.8,6.5,8
2018,loss,Cleveland Cavaliers,Team Totals,4,985,151,368,36,122,66,90,67,119,186,84,25,16,45,73,404,0.41,0.295,0.733,246.3,101,46.5,21,6.3,4
2017,win,Golden State Warriors,Team Totals,5,1200,216,455,71,186,105,128,61,168,229,147,38,22,67,122,608,0.475,0.382,0.82,240,121.6,45.8,29.4,7.6,4.4
2017,loss,Cleveland Cavaliers,Team Totals,5,1199,208,451,66,173,92,123,58,160,218,108,36,18,66,112,574,0.461,0.382,0.748,239.8,114.8,43.6,21.6,7.2,3.6
2016,win,Cleveland Cavaliers,Team Totals,7,1680,263,577,56,170,121,167,82,225,307,126,65,38,93,147,703,0.456,0.329,0.725,240,100.4,43.9,18,9.3,5.4
2016,loss,Golden State Warriors,Team Totals,7,1681,249,578,94,252,107,145,72,207,279,158,46,40,96,150,699,0.431,0.373,0.738,240.1,99.9,39.9,22.6,6.6,5.7
2015,win,Golden State Warriors,Team Totals,6,1490,217,498,67,186,103,149,63,202,265,138,48,30,76,145,604,0.436,0.36,0.691,248.3,100.7,44.2,23,8,5
2015,loss,Cleveland Cavaliers,Team Totals,6,1490,196,511,49,167,120,171,75,210,285,95,45,30,73,133,561,0.384,0.293,0.702,248.3,93.5,47.5,15.8,7.5,5
2014,win,San Antonio Spurs,Team Totals,5,1200,191,362,55,118,91,122,39,150,189,127,40,17,67,99,528,0.528,0.466,0.746,240,105.6,37.8,25.4,8,3.4
2014,loss,Miami Heat,Team Totals,5,1200,168,356,46,116,76,103,28,133,161,76,40,11,72,115,458,0.472,0.397,0.738,240,91.6,32.2,15.2,8,2.2
2013,win,Miami Heat,Team Totals,7,1705,262,571,64,148,91,118,69,209,278,148,61,36,83,145,679,0.459,0.432,0.771,243.6,97,39.7,21.1,8.7,5.1
2013,loss,San Antonio Spurs,Team Totals,7,1702,251,557,61,150,121,158,74,219,293,129,49,30,95,118,684,0.451,0.407,0.766,243.1,97.7,41.9,18.4,7,4.3
2012,win,Miami Heat,Team Totals,5,1199,178,384,42,98,112,136,49,152,201,90,33,19,57,98,510,0.464,0.429,0.824,239.8,102,40.2,18,6.6,3
2012,loss,Oklahoma City Thunder,Team Totals,5,1201,183,402,32,105,92,119,49,141,190,79,36,25,55,112,490,0.455,0.305,0.773,240.2,98,38,15.8,7.2,5
