Rk,name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Scottie Barnes,20,73,73,2596,6.3,12.9,0.492,0.8,2.6,0.298,5.5,10.2,0.542,2.2,3,0.735,2.7,5,7.7,3.5,1.1,0.8,1.9,2.6,15.6
2,Pascal Siakam,27,68,68,2578,8.3,16.9,0.494,1,3,0.344,7.3,13.8,0.527,4,5.3,0.749,1.8,6.3,8.1,5,1.2,0.6,2.5,3.1,21.7
3,Fred VanVleet,27,65,65,2462,6.5,16,0.403,3.5,9.4,0.377,2.9,6.7,0.44,2.8,3.2,0.874,0.6,3.6,4.2,6.3,1.6,0.5,2.5,2.4,19.3
4,Gary Trent Jr.,23,69,68,2417,6.6,15.9,0.413,3.1,8.1,0.384,3.5,7.9,0.443,2.6,3,0.853,0.4,2.4,2.8,2.1,1.8,0.3,1,2.1,18.9
5,OG Anunoby,24,47,47,1703,6.5,14.5,0.445,2.4,6.6,0.369,4,7.9,0.508,1.8,2.5,0.75,1.5,3.9,5.4,2.6,1.5,0.5,1.6,2.8,17.2
6,Precious Achiuwa,22,72,28,1698,5.5,12.5,0.442,1.2,3.2,0.364,4.4,9.3,0.469,1.7,2.8,0.595,3.1,6.8,9.9,1.7,0.8,0.8,1.8,3.2,13.9
7,Chris Boucher,29,79,9,1658,5.7,12.2,0.465,1.4,4.8,0.293,4.3,7.4,0.578,3.1,4,0.774,3.8,6.7,10.6,0.5,1.1,1.6,0.9,3.8,15.9
8,Khem Birch,29,54,27,972,3.5,7.3,0.482,0,0.5,0,3.5,6.8,0.519,2,2.6,0.746,4.4,4.2,8.7,2,1.1,1,1.1,3.9,9
9,Svi Mykhailiuk,24,55,5,708,4.5,11.6,0.39,2,6.6,0.302,2.5,5,0.505,1.6,1.9,0.865,1,3.7,4.7,2.3,1.3,0.2,1.6,2.6,12.7
10,Dalano Banton,22,64,1,696,4.3,10.4,0.411,0.7,2.6,0.255,3.6,7.8,0.464,1.3,2.3,0.591,2,4.4,6.4,5.1,1.4,0.5,2.7,3.5,10.6
11,Malachi Flynn,23,43,5,509,4.8,12,0.402,2,5.9,0.333,2.8,6,0.471,1.1,1.7,0.625,0.6,3.5,4.2,4.7,1.3,0.3,0.8,3.1,12.7
12,Thaddeus Young,33,25,0,455,5.1,11.2,0.461,1.3,3.3,0.381,3.9,7.8,0.495,1,2.1,0.481,3.2,5.7,8.9,3.2,2.3,0.8,1.7,3.2,12.6
13,Yuta Watanabe,27,37,4,434,4.6,11.1,0.41,2.2,6.3,0.355,2.3,4.8,0.483,1.8,3.2,0.579,1.5,5.8,7.3,1.6,0.8,1.3,1.6,3.2,13.2
14,Justin Champagnie,20,36,0,281,4,8.6,0.463,1.3,3.6,0.357,2.7,5,0.538,1.2,1.2,1,4.7,4.5,9.2,1.4,1,0.5,1,4.1,10.4
15,Armoni Brooks,23,12,2,136,2.6,9,0.294,2.4,8.5,0.281,0.3,0.5,0.5,0.5,0.5,1,2.1,3.2,5.3,3.4,1.9,0.8,0.8,2.9,8.2
